,단어,빈도
0,ㅎㅔㅆ다,1
1,가게,1
2,가게들이,1
3,가격,14
4,가격대가,1
5,가격대다,1
6,가격대로,1
7,가격대에,1
8,가격도,1
9,가격에,4
10,가격으로,3
11,가격은,14
12,가격을,8
13,가격이,15
14,가격이다,1
15,가고,1
16,가공키,1
17,가공해,1
18,가구,7
19,가구가,3
20,가구는,1
21,가구를,3
22,가구야,1
23,가구에서,2
24,가구와,1
25,가구원,1
26,가구원이,1
27,가구의,3
28,가기,1
29,가길,1
30,가까우며,1
31,가까운,3
32,가까울수록,1
33,가까워,1
34,가까워집니다,1
35,가까이,4
36,가까이에서,1
37,가깝게,1
38,가끔,1
39,가끔씩,1
40,가는데도,1
41,가늠하는,1
42,가늠하지,1
43,가능,13
44,가능성,7
45,가능성과,1
46,가능성까지,2
47,가능성도,9
48,가능성에,2
49,가능성은,1
50,가능성을,10
51,가능성의,1
52,가능성이,36
53,가능여부가,1
54,가능으로,1
55,가능하게,6
56,가능하겠다고,1
57,가능하겠지만,1
58,가능하고,1
59,가능하고요,1
60,가능하니,1
61,가능하다,21
62,가능하다고,1
63,가능하다는,1
64,가능하다면,1
65,가능하도록,3
66,가능하며,7
67,가능하므로,2
68,가능하지,1
69,가능하지만,1
70,가능한,31
71,가능한지,9
72,가능한지를,1
73,가능할,11
74,가능할까,1
75,가능할까요,2
76,가능할지,1
77,가능합니다,2
78,가능해,2
79,가능해지는,1
80,가능해진다,3
81,가능해질,2
82,가능했고,1
83,가능했던,1
84,가능했어요,1
85,가능했지만,1
86,가다듬고,1
87,가다듬은,1
88,가동까지,1
89,가동도,1
90,가동률은,1
91,가동을,7
92,가동이,2
93,가동하고,1
94,가동하며,1
95,가동하면서,1
96,가동한다,1
97,가동할,1
98,가드,2
99,가드에,1
100,가득하다,1
101,가뜩이나,1
102,가랑비에,1
103,가량,7
104,가량에,1
105,가량으로,2
106,가량을,3
107,가량의,1
108,가량인,2
109,가려졌다,1
110,가로,2
111,가로막을,1
112,가로지르는,1
113,가르는,1
114,가르치는,1
115,가리지,1
116,가리킨다는,1
117,가뭄에,1
