,단어,빈도
0,가격,7
1,가격과,1
2,가격도,1
3,가격보다,1
4,가격에,1
5,가격은,7
6,가격을,3
7,가격의,1
8,가격이,10
9,가계의,2
10,가고시마현,2
11,가구회사,2
12,가급적,1
13,가기,1
14,가까운,4
15,가까워지길,1
16,가까이,2
17,가나가와현,7
18,가늠이,1
19,가늠할,1
20,가능성과,1
21,가능성도,4
22,가능성에,2
23,가능성을,2
24,가능성이,7
25,가능하면,1
26,가능하지만,1
27,가능한,2
28,가능해진다,2
29,가능해집니다,1
30,가다,1
31,가동하고,1
32,가동하며,1
33,가드레일,1
34,가드레일을,1
35,가량,1
36,가량이라고,1
37,가려면,1
38,가를,1
39,가리켜,1
40,가리키며,1
41,가만히,1
42,가뭄에,1
43,가속하며,1
44,가속화로,1
45,가수요,1
46,가스,1
47,가운데에서는,1
48,가입,2
49,가입에,1
50,가입하려면,1
51,가져갈,1
52,가졌다,1
53,가졌다는,1
54,가족들과,1
55,가족들이,1
56,가지려,1
57,가지에,1
58,가치가,5
59,가치는,1
60,가치를,2
61,가하기,1
62,가하는,2
63,가해왔다,1
64,가해자들은,1
65,가했다,1
66,각국의,1
67,각의,1
68,각자의,1
69,간,3
70,간격으로,2
71,간주한다,1
72,갈등의,1
73,갈린,1
74,갈무리,5
75,갈아치웠다,1
76,갈아치웠습니다,1
77,감독은,3
78,감독의,3
79,감독이,1
80,감량해,1
81,감사드립니다,1
82,감사하고,2
83,감사한다,1
84,감세,1
85,감소,1
86,감소가,1
87,감소라고,1
88,감소로,1
89,감소에,1
90,감소였다,1
91,감소한,1
92,감소했다고,2
93,감수할,1
94,감시에,1
95,감염,3
96,감염됐으며,1
97,감염되는지는,1
98,감염된,1
99,감염이,6
100,감염자,5
101,감염자가,1
102,감염증,4
103,감염한,6
104,감염해,3
105,감원을,1
106,감축은,1
107,감축한다는,1
108,감췄다,1
109,감행,1
110,감행했다,1
111,갑자기,1
112,갔다고,1
113,갔으나,1
114,강,11
115,강경,1
116,강경한,1
117,강도,4
118,강도가,1
119,강도들이,2
120,강도사건,1
121,강력,1
122,강력한,5
123,강력히,1
124,강민경,3
125,강박증이,1
126,강병철,6
127,강성웅,2
128,강성웅입니다,1
129,강원도,1
130,강으로,1
131,강을,1
132,강제,2
133,강조되는,1
134,강조된다,1
135,강조하며,2
136,강조했다,9
137,강조했습니다,3
138,강청완,1
139,강한,4
140,강행될,1
141,강화,2
142,강화가,2
143,강화라든지,1
144,강화를,1
145,강화에,1
146,강화하겠다고,1
147,강화하고,1
148,강화하기,2
149,강화하는,1
150,강화할,1
151,강화해야,2
152,같아,1
153,같아서,1
154,같은달보다,1
155,개국,4
156,개국에,1
157,개국에서,2
158,개국을,3
159,개국이,2
160,개나,1
161,개를,4
162,개막식에서,1
163,개막한,1
164,개발도상국,1
165,개발도상국에,1
166,개발은,1
167,개발의,1
168,개발하도록,1
169,개별적인,1
170,개시할,1
171,개에,1
172,개월,10
173,개월간,2
174,개월로,1
175,개의,2
176,개의치,1
177,개인을,1
178,개입,4
179,개입도,1
180,개입했는지,1
181,개장했다,1
182,개전,3
183,개편,2
184,개편과,1
185,객원기자,2
186,갤런,4
187,갤런당,6
188,갭,1
189,갭과,1
190,갭이,1
191,갱도,2
192,거기까지,1
193,거닐고,1
194,거들었다,1
195,거래,1
196,거래되고,1
197,거래소,1
198,거래일,1
199,거론했다,1
200,거리를,4
201,거리에서,1
202,거부권을,2
203,거부하는,2
204,거부하며,1
205,거부해,2
206,거세지자,1
207,거세질,1
208,거시경제,3
209,거점을,1
210,거점이었다,1
211,거주,1
212,거주하는,1
213,거처럼,1
214,건가,1
215,건강과,1
216,건강관리에,1
217,건강상태는,1
218,건강이상설이,2
219,건강하게,1
220,건너,1
221,건데,1
222,건물,4
223,건물이,1
224,건설,2
225,건설업체와,1
226,건수는,3
227,건으로,3
228,건장한,3
229,건전성을,1
230,걷어차기,1
231,걸,1
232,걸그룹,1
233,걸렸다,1
234,걸렸다고,3
235,걸렸다는,2
236,걸리면,1
237,걸린,3
238,걸음을,2
239,걸쳐,5
240,검사,20
241,검사가,1
242,검사를,5
243,검사에서,2
244,검사요건이,3
245,검사장,1
246,검색어,1
247,검색해,8
248,검역,3
249,검역관,3
250,검역에서,3
251,검정,1
252,검출됐고,1
253,검출됐다는,2
254,검토하고,2
255,검토할,1
256,겁니다,3
257,것과,1
258,것과는,1
259,것도,1
260,것들을,1
261,것에,1
262,것에서,1
263,것이고,2
264,것이냐며,1
265,것이라고,9
266,것이라는,8
267,것이라며,1
268,것이란,2
269,것이며,1
270,것이었다,1
271,것인지는,1
272,것인지를,1
273,것일,1
274,것입니다,2
275,것처럼,1
276,겉보기에는,1
277,게시되고,1
278,게오르기,2
279,게재된,2
280,게재했다,1
281,게티이미지,2
282,게티이미지코리아,1
283,겨냥한,1
284,겨냥해,3
285,격동과,1
286,격동의,1
287,격리,3
288,격이,1
289,격인,1
290,격추했다고,1
291,겪고,3
292,겪을,2
293,견지하기로,1
294,견지했다,1
295,견해가,1
296,결과가,1
297,결과는,1
298,결과를,1
299,결과물이,2
300,결과에,1
301,결과였다,1
302,결과입니다,1
303,결론은,1
304,결선에,1
305,결선을,1
306,결실이,1
307,결을,1
308,결정된다,1
309,결정은,1
310,결정을,6
311,결정이지만,1
312,결정적으로,1
313,결정하기도,1
314,결정한,1
315,결정할,3
316,결정했다,3
317,결정했다고,1
318,결정했습니다,1
319,결정회의에서,1
320,결집해,1
321,결코,1
322,경각심을,1
323,경계,1
324,경고가,1
325,경고와,1
326,경고했다,1
327,경고했습니다,2
328,경기,7
329,경기를,1
330,경기와,1
331,경기장,1
332,경기침체,1
333,경기침체가,2
334,경기침체는,1
335,경기침체를,1
336,경기침체에,3
337,경로는,1
338,경상수지,11
339,경상을,1
340,경상흑자,1
341,경색,1
342,경신하게,1
343,경신한,1
344,경신했는데,1
345,경신했다,3
346,경악케,1
347,경우가,3
348,경우는,2
349,경우로,1
350,경우를,3
351,경우에는,3
352,경유,2
353,경유는,1
354,경유의,1
355,경쟁에서,1
356,경쟁을,1
357,경제,12
358,경제가,1
359,경제도,1
360,경제를,3
361,경제수도,2
362,경제안보,4
363,경제안보는,1
364,경제안보비서관실을,1
365,경제에,2
366,경제와,1
367,경제적,2
368,경제정보,1
369,경제학자들,1
370,경찰,3
371,경찰에,1
372,경찰은,2
373,경찰이,1
374,경향닷컴,1
375,경향신문,1
376,계기로,1
377,계속,8
378,계속되는,1
379,계속되면서,1
380,계속될,1
381,계속하기로,1
382,계속하면서,1
383,계속할,1
384,계속해서,1
385,계약이,1
386,계절,1
387,계정을,2
388,계획,1
389,계획도,1
390,계획에,2
391,계획을,1
392,계획이,1
393,계획이라고,2
394,계획인,1
395,계획입니다,1
396,계획하고,1
397,고객들에게,1
398,고객들이,2
399,고공행진,1
400,고공행진이,1
401,고국인,1
402,고대하고,2
403,고려한,1
404,고려할,1
405,고려해,1
406,고루,1
407,고르지,1
408,고립,1
