,단어,빈도
0,ㄱ씨,1
1,ㄱ씨가,1
2,ㄱ씨는,1
3,ㅁ자로,1
4,ㅅ,1
5,ㅎㅔㅆ다,1
6,가감,1
7,가거나,2
8,가게,7
9,가게가,1
10,가게다,1
11,가게들이,3
12,가게라,1
13,가게를,5
14,가게에,3
15,가게에는,1
16,가겠느냐,1
17,가겠다고,3
18,가겠다라고,1
19,가격,63
20,가격과,2
21,가격까지,4
22,가격대가,2
23,가격대는,1
24,가격대다,1
25,가격대로,2
26,가격대에,1
27,가격도,16
28,가격미정,4
29,가격보다,1
30,가격에,14
31,가격으로,8
32,가격은,87
33,가격을,28
34,가격의,5
35,가격이,68
36,가격이고,1
37,가격이다,5
38,가격적인,1
39,가격정보에,1
40,가격정보포털인,1
41,가격제한폭,1
42,가계,1
43,가계가,3
44,가계는,2
45,가계대출,2
46,가계물가지수에,1
47,가계부채,1
48,가계신용,1
49,가계에,2
50,가계에는,1
51,가계와,4
52,가계의,3
53,가고,15
54,가고시마현,2
55,가공,3
56,가공기술,1
57,가공식품,1
58,가공업체의,1
59,가공육에,1
60,가공제품,1
61,가공종합단지,1
62,가공키,1
63,가공해,2
64,가교가,1
65,가구,23
66,가구가,5
67,가구는,5
68,가구다,1
69,가구당,1
70,가구들은,1
71,가구로,2
72,가구를,3
73,가구야,1
74,가구업계나,1
75,가구에,3
76,가구에서,2
77,가구와,2
78,가구원,1
79,가구원이,1
80,가구의,6
81,가구주,1
82,가구회사,2
83,가금류,1
84,가급적,3
85,가기,9
86,가기도,1
87,가기로,1
88,가길,2
89,가까우니,1
90,가까우며,1
91,가까운,36
92,가까울수록,1
93,가까워,3
94,가까워지고,2
95,가까워지길,1
96,가까워지려,1
97,가까워지려는,1
98,가까워진듯,1
99,가까워질,1
100,가까워집니다,1
101,가까웠던,1
102,가까이,29
103,가까이에서,1
104,가까이한다,1
105,가깝게,4
106,가깝고요,1
107,가깝다,2
108,가깝다고,1
109,가깝다라는,1
110,가깝지도,1
111,가꾸며,1
112,가끔,11
113,가끔씩,1
114,가나,1
115,가나가와현,7
116,가난한,3
117,가냐고,1
118,가느냐도,1
119,가느냐에,1
120,가느다란,1
121,가는데,1
122,가는데도,1
123,가는지,1
124,가늘어,1
125,가늘어지고,1
126,가늠이,1
127,가늠하는,1
128,가늠하지,1
129,가늠할,2
130,가늠해,1
131,가능,20
132,가능성,16
133,가능성과,5
134,가능성까지,3
135,가능성도,40
136,가능성에,8
137,가능성으로,3
138,가능성은,10
139,가능성을,31
140,가능성의,1
141,가능성이,150
142,가능성이다,1
143,가능여부가,1
144,가능으로,1
145,가능하게,6
146,가능하겠다고,1
147,가능하겠지만,1
148,가능하고,5
149,가능하고요,1
150,가능하기,1
151,가능하니,1
152,가능하다,49
153,가능하다고,2
154,가능하다는,2
155,가능하다면,2
156,가능하도록,6
157,가능하며,16
158,가능하면,2
159,가능하므로,2
160,가능하지,1
161,가능하지만,4
162,가능한,73
163,가능한데,1
164,가능한지,13
165,가능한지를,1
166,가능할,17
167,가능할까,1
168,가능할까요,2
169,가능할지,1
170,가능합니다,3
171,가능해,3
172,가능해져,1
173,가능해졌다,1
174,가능해지는,1
175,가능해진다,7
176,가능해질,3
177,가능해집니다,1
178,가능했고,1
179,가능했는데,1
180,가능했던,1
181,가능했어요,1
182,가능했지만,3
183,가니까,1
184,가니만,1
185,가니시,1
186,가다,2
187,가다듬고,1
188,가다듬은,1
189,가다보니까,1
190,가닥을,2
191,가달라,1
192,가담했고,1
193,가당치,1
194,가도록,1
195,가도에,1
196,가동,2
197,가동까지,1
198,가동도,1
199,가동되길,1
200,가동된,1
201,가동률은,1
202,가동에,2
203,가동에도,1
204,가동으로,2
205,가동을,9
206,가동이,4
207,가동하고,2
208,가동하며,2
209,가동하면서,1
210,가동하진,1
211,가동한다,1
212,가동할,1
213,가동했습니다,1
214,가둘,1
215,가드,2
216,가드레일,1
217,가드레일을,1
218,가드에,1
219,가득,8
220,가득하겠고,1
221,가득하다,2
222,가득한,2
223,가득했다,1
224,가뜩이나,3
225,가라,2
226,가라앉아서,1
227,가라앉았다,1
228,가라앉은,2
229,가라앉을,3
230,가라앉을지,1
231,가라앉을지는,1
