,단어,빈도
0,ㅁ자로,1
1,가거나,2
2,가게,2
3,가게가,1
4,가게들이,2
5,가게라,1
6,가게를,5
7,가게에,2
8,가게에는,1
9,가겠다고,1
10,가격,5
11,가격대로,1
12,가격도,1
13,가격미정,4
14,가격에,2
15,가격으로,1
16,가격은,6
17,가격을,7
18,가격이,3
19,가격적인,1
20,가고,2
21,가공육에,1
22,가구,2
23,가구는,2
24,가구들은,1
25,가급적,2
26,가기,5
27,가까우니,1
28,가까운,10
29,가까워,2
30,가까워지려,1
31,가까워진듯,1
32,가까워질,1
33,가까이,2
34,가깝게,1
35,가깝다,2
36,가깝지도,1
37,가끔,9
38,가나,1
39,가난한,3
40,가느다란,1
41,가늘어지고,1
42,가능,3
43,가능성,1
44,가능성도,5
45,가능성으로,1
46,가능성은,1
47,가능성을,6
48,가능성이,30
49,가능하고,2
50,가능하다,17
51,가능하며,3
52,가능한,19
53,가능한지,1
54,가능해졌다,1
55,가능했지만,1
56,가달라,1
57,가담했고,1
58,가도록,1
59,가동,1
60,가동하진,1
61,가둘,1
62,가득,7
63,가득하겠고,1
64,가득하다,1
65,가득한,2
66,가라,1
67,가라앉았다,1
68,가라앉은,1
69,가라앉히는,2
70,가라앉힐,1
71,가량,7
72,가량은,1
73,가량이,2
74,가량인,1
75,가량입니다,1
76,가려,1
77,가려면,2
78,가려졌던,1
79,가로,1
80,가로로,1
81,가로지르는,1
82,가로지르며,1
83,가르시니아,2
84,가르쳐,2
85,가르쳤다,1
86,가르치는,1
87,가르치라,1
88,가리키며,2
89,가리키지,1
90,가린,1
91,가만히,3
92,가면,3
93,가면서,2
94,가뭄,2
95,가뭄까지,1
96,가뭄을,1
97,가뭄의,1
98,가뭄이,4
99,가뭄정보시스템에,1
100,가방,5
101,가방을,1
102,가버리신,1
103,가벼우며,1
104,가벼운,6
105,가벼움이다,1
106,가벼워,1
107,가볍게,6
108,가보려,1
109,가보지,1
110,가봉해서,1
111,가부장제다,1
112,가쁘고,1
113,가사,3
114,가사처럼,1
115,가상,4
116,가상의,3
117,가상인간,6
118,가상인간인,1
119,가상인물인,1
120,가상현실,1
121,가서,3
122,가설로만,1
123,가설이,2
124,가속화한다,2
125,가수,16
126,가스류,1
127,가슴에,1
128,가슴을,1
129,가시거리,4
130,가신,1
131,가신들아,1
132,가쓰히코에,1
133,가야,4
134,가왕신화,3
135,가요,1
136,가요가,1
137,가운데에는,2
138,가위가,1
139,가을에는,1
140,가이드를,2
141,가이드의,2
142,가이즈,1
143,가입이,1
144,가장들로부터,1
145,가장들에게,1
146,가장들이,2
147,가장자리를,1
148,가전을,1
149,가정,4
150,가정동,1
151,가정불화가,1
152,가정의학과,2
153,가정폭력,1
154,가정할,1
155,가져가서,2
156,가져갔으면,1
157,가져보는,1
158,가져야,2
159,가져오게,1
160,가져온,3
161,가져왔다고,1
162,가져줘서,1
163,가졌다,2
164,가졌지만,1
165,가족,8
166,가족과,2
167,가족끼리,1
168,가족들에게,1
169,가족들은,2
170,가족들을,1
171,가족들의,1
172,가족력,1
173,가족력은,1
174,가족력이,1
175,가족에,1
176,가족에게,1
177,가족에서,1
178,가족으로서의,1
179,가족을,4
180,가족의,5
181,가족이나,1
182,가족주의는,1
183,가죽,1
184,가중치를,1
185,가중할,1
186,가지가,1
187,가지게,1
188,가지런한,2
189,가지런히,2
190,가지려는,1
191,가지로,1
192,가지를,1
193,가지면,1
194,가지면서,2
195,가지므로,1
196,가지지,1
197,가진다,2
198,가질,2
199,가짜,3
200,가천대,1
201,가치가,8
202,가치관적,1
203,가치는,2
204,가치를,6
205,가치와,1
206,가톨릭대,1
207,가파른,1
208,가평,2
209,가하겠다,1
210,가해져,1
211,가해지는,2
212,가해지므로,1
213,각각의,2
214,각결막염과,1
215,각결막염은,1
216,각결막염의,1
217,각결막염이,1
218,각광받고,1
219,각국,5
220,각국의,4
221,각기,1
222,각도를,2
223,각막,3
224,각막부종에,1
225,각막에,1
226,각별한,2
227,각별히,5
228,각본도,1
229,각성을,1
230,각양각색,1
231,각자의,6
232,각지에,1
233,각질을,2
234,각질층이,1
235,간,24
236,간간이,1
237,간거라,1
238,간결한,1
239,간경변증,3
240,간경변증은,1
241,간경변증을,3
242,간경변증이,2
243,간과하기,1
244,간다,1
245,간다는,1
246,간단하거나,1
247,간단한,1
248,간단해,1
249,간단히,1
250,간만의,1
251,간섭하지,1
252,간성뇌증,1
253,간성뇌증이,1
254,간세포,1
255,간소화해,1
256,간식,2
257,간식으로,1
258,간식을,3
259,간암,3
260,간에,3
261,간염,2
262,간염이나,1
263,간염이었지만,1
264,간으로,2
265,간은,2
266,간의,2
267,간이나,1
268,간이식,1
269,간자반병,1
270,간절히,1
271,간주했다,1
272,간직하면서도,1
273,간직한,2
274,간직할,1
275,간판,1
276,간판과,1
277,간판들과,1
278,간판은,1
279,간판이,1
280,간편하게,1
281,간편하고,1
282,간편한,1
283,간편히,1
284,간헐적인,3
285,간호본부,1
286,간호사,1
287,간혹,1
288,갇히거나,1
289,갈,6
290,갈급한,1
291,갈기갈기,1
292,갈등,2
293,갈등과,1
294,갈등이,1
295,갈라,1
296,갈라져,1
297,갈망을,1
298,갈망제,1
299,갈무리,1
300,갈수록,2
301,갈아도,1
302,갈아타야,1
303,갈증을,1
304,갈증이,1
305,감각,1
306,감각으로,2
307,감각을,3
308,감각이,1
309,감각장애,1
310,감각적,1
311,감각적인,1
312,감격했던,1
313,감기지,1
314,감당하고,1
315,감당하기,1
316,감당할,3
317,감도,1
318,감도가,1
319,감도란,1
320,감독,10
321,감독과,2
322,감독상과,1
323,감독상을,2
324,감독은,7
325,감독의,8
326,감독이,5
327,감독이다,1
328,감돌겠습니다,1
329,감동을,2
330,감량,2
331,감미로운,1
332,감미료가,1
333,감바스,1
334,감사,2
335,감사는,1
336,감사드리고,1
337,감사드리며,1
338,감사드린다,3
339,감사드립니다,2
340,감사하다,3
