,단어,빈도
0,ㄱ씨,1
1,ㄱ씨가,1
2,ㄱ씨는,1
3,ㅅ,1
4,가감,1
5,가게,4
6,가게다,1
7,가게에,1
8,가겠느냐,1
9,가겠다고,2
10,가겠다라고,1
11,가격,1
12,가격에,1
13,가격을,1
14,가계부채,1
15,가고,12
16,가공종합단지,1
17,가교가,1
18,가구,3
19,가구와,1
20,가기,2
21,가기도,1
22,가기로,1
23,가까운,13
24,가까워지고,1
25,가까워지려는,1
26,가까웠던,1
27,가까이,4
28,가깝고요,1
29,가깝다고,1
30,가깝다라는,1
31,가냐고,1
32,가느냐도,1
33,가느냐에,1
34,가는데,1
35,가는지,1
36,가늠해,1
37,가능성,5
38,가능성과,2
39,가능성도,12
40,가능성에,2
41,가능성으로,1
42,가능성은,3
43,가능성을,4
44,가능성이,45
45,가능하다,1
46,가능하다고,1
47,가능하도록,3
48,가능하며,3
49,가능하면,1
50,가능하지만,1
51,가능한,10
52,가능한데,1
53,가능한지,2
54,가능할,2
55,가능해,1
56,가니까,1
57,가니만,1
58,가다,1
59,가닥을,2
60,가당치,1
61,가도에,1
62,가동되길,1
63,가동된,1
64,가동이,1
65,가동했습니다,1
66,가뜩이나,2
67,가라,1
68,가라앉아서,1
69,가라앉은,1
70,가라앉을,3
71,가라앉을지,1
72,가라앉을지는,1
73,가락공판장에서,1
74,가량,2
75,가량로,1
76,가량을,2
77,가량이며,1
78,가량이었던,1
79,가려내려는,1
80,가려는,1
81,가로세로연구소,2
82,가로세로연구소는,1
83,가로세로인가,1
84,가로채기한,1
85,가로챘다는,1
86,가리더라도,1
87,가리켜,1
88,가리키는,3
89,가만,1
90,가만히,4
91,가면,3
92,가뭄극복을,1
93,가뭄대책상황실로,1
94,가뭄으로,1
95,가뭄피해,1
96,가버렸다,1
97,가벌성,1
98,가벌성을,1
99,가벌성이나,1
100,가벌성이라든가,2
101,가벼운,2
102,가볍고,1
103,가볍지,1
104,가사,1
105,가상자산,7
106,가상자산의,1
107,가상자산이,1
108,가상화폐,4
109,가서,16
110,가설,1
111,가세연,9
112,가세연에,3
113,가세연은,1
114,가세연을,1
115,가세연의,2
116,가세연이,1
117,가세하면서,2
118,가세했다,2
119,가속화,1
120,가슴에,1
121,가시적,1
122,가시적인,2
123,가시화된다면,1
124,가신,1
125,가야,4
126,가야겠냐,1
127,가야겠느냐,2
128,가야농협,1
129,가오,1
130,가요,1
131,가운데서,1
132,가운데에서,1
133,가이드라인,1
134,가이드라인을,1
135,가입,2
136,가입비,1
137,가입자,1
138,가자고,1
139,가정,3
140,가정했을,1
141,가져가느냐,1
142,가져가느냐인데,1
143,가져가는,1
144,가져간다는,1
145,가져갔다면,1
146,가져갔을,1
147,가져야만,1
148,가져오겠다라는,1
149,가져온다는,2
150,가져와봤습니다,1
151,가져와야,1
152,가져왔나,1
153,가졌는데요,2
154,가졌다,10
155,가졌죠,1
156,가족과,1
157,가족들은,2
158,가족을,2
159,가족이,1
160,가중해,1
161,가지가,3
162,가지게,2
163,가지겠나,1
164,가지고서,3
165,가지는,5
166,가지다,1
167,가지려면,1
168,가지로,2
169,가지만,2
170,가지셨으면,1
171,가지이지,1
172,가지인데요,1
173,가질,3
174,가짜,3
175,가짜뉴스가,2
176,가치,1
177,가치가,1
178,가치관이라고,1
179,가치는,1
180,가치들이,1
181,가치를,5
182,가치철학을,1
183,가칭,3
184,가하는,20
185,가해,1
186,가해자가,1
187,가해자에,1
188,가해자인,1
189,가해주신,1
190,가했습니다,1
191,각각의,1
192,각계,4
193,각계에서,1
194,각광받고,1
195,각급,1
196,각료,1
197,각별히,1
198,각색한,1
199,각서,2
200,각서는,1
201,각서와,1
202,각성을,1
203,각오가,1
204,각오로,1
205,각오를,2
206,각오와,1
207,각지,1
208,간,38
209,간격,1
210,간다,1
211,간다는,2
212,간다라고,1
213,간단하게,1
214,간단히,3
215,간담회,10
216,간담회를,1
217,간담회에,2
218,간담회에서,2
219,간담회에서도,2
220,간사가,10
221,간사단,1
222,간섭하는,1
223,간소화,1
224,간소화하는,1
225,간에,7
226,간에도,1
227,간의,6
228,간판이,1
229,갈,25
230,갈등,17
231,갈등과,2
232,갈등도,1
233,갈등들이,1
